doc_id,topic,keywords
0,1,가입 채널 상품 얼마
1,2,할인 상품 결합 가입 인터넷 문의 얼마나 핸드폰 절차
2,3,청구 금액 어쩌
3,4,요금 상세 변경 데이터 이번
4,3,휴대폰 분실
5,4,요금 이번 얼마
6,0,처리 휴대폰 고장 직영 가기
7,4,부가 서비스 문의 구매 가격 데이터 보충
8,4,부가 서비스 문의 스트리밍 음악
9,0,신청 고장 방문 핸드폰 시간
10,4,서비스 패키지 신청 인기 요금 채널 얼마
11,0,고장 스마트워치
12,3,전화번호 핸드폰 어디 액정 서류 가야
13,4,요금 무제한 변경 데이터 약정 제로 요금제
14,2,인터넷 그때
15,0,휴대폰 고장 방문 충전 언제 날짜
16,0,신청 고장 방문 핸드폰 시간
17,1,가입 상품
18,4,부가 서비스 해지 스트리밍 음악
19,4,부가 서비스 신청 데이터 보충
20,1,가입 다른 데이터 용량 추천 비교 얼마 요금제
21,4,요금 조회 초과 얼마나 뭔가
22,0,화면 고장 방문 언제 노트북
23,2,인터넷 문의 설치
24,4,서비스 가입 스트리밍 가격 음악
25,1,변경 요금제 지금
26,0,신청 고장 사용 충전
27,1,변경 데이터 요금제
28,1,가입 요금 데이터 제로 무제한 요금제
29,2,인터넷
30,2,인터넷 속도
31,1,사용 설명 문의 현재 무엇 요금제 중인
32,4,요금 상세 변경 데이터
33,0,비용 얼마
34,4,부가 서비스 문의 신청 가격 데이터 보충
35,3,납부 변경 요금 카드 번호 방법
36,1,변경 뭔가 요금제
37,0,신청 휴대폰 직영 충전
38,4,요금 문자
39,1,요금제
40,2,인터넷 속도
41,1,청구 설명 납득 요금 무슨 데이터 어제 초과 용량
42,2,해지 서비스 변경 회사 다른 인터넷
43,1,개통 최신 모델 핸드폰
44,3,요금 납부 자동 조회 이체 신한은행
45,1,멤버십 혜택 가입 서비스 카드 플라스틱
46,4,부가 서비스 해지 스트리밍 음악 동의
47,2,인터넷
48,0,신청 휴대폰 고장 직영
49,3,문의 관련 어쩌 요금
50,0,신청 휴대폰 고장 충전
51,0,신청 핸드폰
52,3,휴대폰 번호 분실 신고
53,2,주소 오늘 아침 오후
54,3,인터넷 장애 / 고장
55,4,요금 조회
56,3,청구 금액 어쩌
57,0,요금 미납 내야 언제
58,3,납부 변경 요금 카드 계좌 방법 신한은행
59,3,요금 납부 이체 카드 변경 다른 계좌 방법
60,4,요금 조회 데이터 초과 얼마나 뭔가
61,2,인터넷 설치 오늘 언제
62,4,청구 조치 요금 문제
63,3,납부 변경 요금 카드 계좌 방법 신한은행
64,2,해지 휴대폰
65,0,신청 휴대폰 직영 충전
66,0,신청 고장 핸드폰
67,4,요금 할인 상세 역도 이번 얼마 얼마나
68,1,가입 신규 상품 주소 인터넷 개월
69,0,신청 어디가 핸드폰 배터리 소모
70,4,요금 조회 청구 지난
71,3,상품 결합 이용 가입 인터넷 문의 휴대폰 중이
72,3,납부 변경 요금 계좌 방법 신한은행
73,2,인터넷 젠장
74,3,문의 관련 어쩌 요금
75,2,해지 이사 가게 인터넷
76,2,인터넷
77,4,문의 확인 소진 데이터 요금제 휴대폰 얼마나
78,0,신청 화면 고장 터치
79,3,요금 납부 적용 이체 번호 계좌 방법 은행 언제
80,4,가입 요금 휴대폰 제로
81,0,접수 신청 고장 핸드폰 언제
82,2,인터넷 설치
83,4,부가 서비스 데이터 종류 뭔가 보충
84,4,해지 통신 품질
85,4,요금 할인 상세 역도 이번 얼마 얼마나
86,0,고장 방문 언제 터치 태블릿
87,2,해지 통신사 주소 다른 인터넷 동의
88,0,신청
89,2,해지 다른
90,4,요금 할인 상세 역도 이번 얼마 얼마나
91,4,요금 변경 데이터 사용 추가 걱정 위로 지금 단계 요금제
92,1,할인 상품 결합 가입 얼마나
93,4,부가 서비스 추가 클라우드
94,2,해지 이사 가게 인터넷
95,3,해지 변경 요금 동의 데이터 남아 여러
96,3,청구 금액 어쩌
97,4,부가 서비스 해지 스트리밍 음악 동의
98,3,인터넷 장애 / 고장
99,0,갑자기
100,0,신청 화면 휴대폰 고장 방문 언제
101,1,변경 그것 요금제
102,0,휴대폰 고장
103,2,할인 결합 인터넷 신청 얼마나 핸드폰 말씀 주소
104,4,요금 조회 데이터 초과 얼마나 뭔가
105,1,바보 얼마나 요금제
106,0,화면 휴대폰 고장 택배
107,2,해지
108,4,청구 문의 변경 요금 데이터 용량 요금제
109,2,인터넷 해결
110,2,해지 통신사 변경 다른 휴대폰
111,0,처리 휴대폰 고장 직영 가기
112,1,데이터 요금제
113,3,납부 이체 자동 요금 방법
114,3,납부 변경 이체 자동 요금 방법
115,0,신청 핸드폰
116,0,휴대폰 수리
117,0,멤버십 포인트 사용 어디 처가
118,2,인터넷 속도
119,4,서비스 가입 클라우드 동의 용량 얼마나
120,1,변경 데이터 사용 요금제
121,3,관련 어쩌 요금
122,2,인터넷 설치 그때
123,4,요금 조회 청구 지난
124,2,문의 설치
125,1,변경 주소 부탁
126,2,해지 서비스 변경 회사 다른 인터넷
127,3,전화번호 핸드폰 어디 액정 서류 가야
128,4,요금 확인 데이터 얼마 비교 런가 용량 지난달
129,3,납부 변경 이체 요금 카드 계좌 방법
130,4,부가 서비스 해지 스트리밍 음악
131,4,청구 문의 요금
132,3,장비 안내
133,1,사용 내용 추천 요금제
134,1,가입 주소 인터넷 동의 가장
135,4,위약금 해지 확인 얼마
136,2,해지 인터넷
137,4,부가 서비스 해지 클라우드
138,4,서비스 가입 가격 클라우드 무엇 용량 얼마나
139,1,무제한 변경 데이터 요금제
140,2,해지 이사 인터넷 어서
141,4,청구 조회
142,4,부가 서비스 해지
143,4,요금 조회 데이터 초과 얼마나
144,4,서비스 패키지 신청 인기 요금 채널 얼마
145,1,해지 다른 빌어먹을 계속 진짜
146,1,개통 최신 모델 핸드폰
147,1,휴대폰 카메라 사용 구매 게임 모델 종이 가격 주로 정도
148,4,요금 데이터 이번
149,1,변경 데이터 사용 요금제
150,1,개통 최신 모델 핸드폰
151,4,해지 요금
152,2,해지 이사 가게 인터넷
153,1,데이터 요금제
154,4,청구 요금
155,2,해지 다른
156,1,변경 요금제
157,2,인터넷 설치 그때
158,4,가입 요금 휴대폰 제로
159,1,가입 다른 데이터 용량 추천 비교 얼마 요금제
160,4,서비스 가입 클라우드 동의 용량 얼마나
161,1,변경 다른 취소 얼마나 요금제
162,0,화면 휴대폰 고장 택배
163,1,변경 데이터 동의 비용 얼마나 요금제
164,4,부가 서비스 가입 클라우드
165,4,요금 변경 조회 데이터 얼마나 생각 요금제
166,2,해지 다른 휴대폰
167,4,청구 문의 확인 데이터 용량
168,4,요금 조회
169,4,조회 상세 얼마 요금 이번 역도
170,3,납부 요금 카드 계좌 방법
171,4,부가 서비스 문의 신청 가격 데이터 보충
172,4,부가 서비스 문의 옵션 데이터
173,4,부가 서비스 해지 보안
174,4,요금 조회 데이터 초과 얼마나 뭔가
175,4,청구 문의 상세 요금
176,4,부가 서비스 문의 신청 가격 데이터 보충
177,0,신청 화면 휴대폰 고장 먹통
178,4,부가 서비스 신청 가격 관련 데이터 종류 뭔가 보충 방법
179,4,부가 서비스 쿠폰 문의 구매 가격 데이터 보충 얼마
180,4,요금 문자
181,4,부가 서비스 해지 스트리밍 음악
182,0,화면 휴대폰 고장 택배
183,2,해지
184,4,부가 서비스 문의 가입 스트리밍 음악
185,3,요금 납부 이체 카드 변경 다른 계좌 방법
186,4,청구 얼마
187,4,요금 납부 확인 얼마 제대로
188,0,인터넷 방문 시간 오후
189,2,인터넷 신청 연결
190,2,인터넷 그때
191,1,무제한 변경 데이터 약정 요금제
192,1,변경 요금제
193,0,신청 휴대폰 고장 충전
194,3,인터넷 장애 / 고장
195,1,가입 채널 상품 얼마
196,1,변경 가격 데이터 사용 요금제
197,4,부가 서비스 문의 무제한 데이터
198,4,부가 서비스 문의 가입 데이터 보충
199,2,해지 통신사 주소 다른 인터넷 동의
200,2,인터넷 주소 속도 어제 내일 오전
201,3,납부 이체 적용 요금 카드 계좌 방법 언제
202,2,해지 다른 휴대폰
203,4,부가 서비스 해지 스트리밍 음악
204,4,서비스 가입 클라우드
205,2,결제 소액 휴대폰
206,4,요금 조회
207,0,멤버십 적립 포인트 확인
208,1,인터넷 가입 상품 가장
209,2,인터넷
210,1,무제한 변경 데이터 요금제
211,4,요금 변경 조회 데이터 얼마나 요금제
212,2,해지 다른 처리
213,1,변경 데이터 가장 요금제
214,4,부가 서비스 가입 클라우드
215,2,인터넷 그때
216,1,설명 변경 요금제
217,4,조회 상세 요금
218,4,인터넷 확인 원인 언제 오후 진짜
219,1,사용 내용 추천 요금제
220,4,요금 데이터 확인 바로 제로 요금제
221,0,정지 일시 기간 신청 요금
222,0,기종은 신청 고장 방문 핸드폰 시간
223,0,신청 휴대폰 고장 문제 배터리
224,4,요금 상세 얼마
225,1,가입 채널 상품 얼마
226,0,처리 휴대폰 고장 직영 가기
227,3,핸드폰 신고
228,4,부가 서비스 해지
229,4,부가 서비스 문의 클라우드
230,3,휴대폰 분실 신고 가입 지하철
231,1,변경 데이터 사용 추천 동의 보통 정도 요금제
232,0,인터넷 방문
233,0,해지 통신사 다른 직영 절차 얼마 가야
234,4,서비스 가입 클라우드 동의 용량 얼마나
235,4,부가 서비스 문의 스트리밍 사용 음악
236,4,조회 요금
237,0,신청 고장 핸드폰 소리 언제
238,0,휴대폰 고장
239,4,부가 서비스 신청 가격 관련 데이터 종류 뭔가 보충 방법
240,4,부가 서비스 신청 데이터 보충
241,1,가입 상품
242,4,요금 어플 조회 확인 한번
243,1,가입 주소 인터넷 동의 가장
244,4,요금 조회 데이터 얼마 비교 런가 용량 지난달
245,2,해지 회사 인터넷 다른
246,1,편입 사용 내용 추천 요금제
247,4,부가 서비스 신청 가격 관련 데이터 종류 뭔가 보충 방법
248,2,인터넷 설치
249,1,비교 보고 요금제
250,1,변경 데이터 요금제
251,1,변경 데이터 사용 요금제
252,2,해지 통신사 변경 다른 휴대폰
253,3,납부 변경 이체 요금 카드 계좌 방법
254,0,신청 휴대폰 직영 충전
255,3,요금 납부 이체 카드 변경 계좌 방법 지금
256,4,부가 서비스 가입 클라우드
257,1,데이터 요금제
258,3,납부 이체 적용 요금 카드 계좌 번호 방법 은행 언제
259,1,변경 현재 요금제
260,3,해지 변경 요금 동의 데이터 남아 여러
261,3,인터넷 장애 / 고장
262,4,요금 납부 조회 청구
263,4,요금 씨바
264,4,부가 서비스 해지 스트리밍 음악 동의
265,2,해지 통신사 주소 다른 인터넷 동의
266,4,요금 설명 변경 조회 확인 데이터 유지 젠장 계속 문자 용량 지난달 요금제 진짜 지금
267,3,가입 서류
268,1,청구 이메일
269,1,변경 데이터 요금제
270,2,해지 통신사 변경 다른
271,0,접수 신청 고장 핸드폰 언제
272,1,변경 요금제 지금
273,4,부가 서비스 신청
274,4,요금 할인 상세 역도 이번 얼마 얼마나
275,4,요금 얼마
276,4,부가 서비스 해지 데이터 보충 사용
277,3,납부 변경 요금 카드 계좌 번호 방법
278,4,청구 얼마
279,0,처리 휴대폰 고장 직영 가기
280,0,로밍 해외 사용 신청 일본
281,4,요금 할인 납부 미납 내야 얼마
282,4,와이파이
283,0,신청 화면 고장 터치
284,4,요금
285,3,납부 변경 이체 요금 카드 계좌 방법
286,1,변경 데이터 요금제
287,4,부가 서비스 해지 클라우드
288,0,고장 방문 충전 언제 스마트워치
289,3,전화번호 핸드폰 어디 액정 서류 가야
290,1,가입 설명 도대체 요금제
291,4,요금 무제한 변경 적용 데이터 약정 지금 제로 언제 요금제
292,4,요금 상세 데이터
293,0,멤버십 포인트 서든 등급 사용 다이아몬드 어디
294,3,납부 변경 요금 카드 방법
295,2,인터넷 설치
296,3,요금 납부 이체 카드 변경 다른 계좌 방법
297,0,신청 핸드폰
298,0,와이파이 방문
299,4,요금 납부 조회 청구
300,3,납부 변경 요금 카드 방법
301,4,청구 문의 변경 요금 데이터 용량 요금제
302,0,신청 고장 핸드폰 충전 언제
303,1,가입 주소 인터넷 동의 가장
304,3,상품 결합 이용 가입 인터넷 문의 휴대폰 중이
305,4,데이터 요금 구매 추가 얼마
306,3,납부 변경 요금 카드 방법
307,1,변경 요금제
308,4,요금 뭔가 문자
309,0,신청 화면 고장 방문 어디가 핸드폰
310,1,가입 다른 데이터 용량 추천 비교 얼마 요금제
311,4,요금 설명 카드 조회 데이터 씨발 젠장
312,4,요금 조회 데이터 초과 얼마나 뭔가
313,3,장비 안내
314,1,변경 가장 요금제
315,0,신청 고장 사용 충전
316,4,서비스 가입 클라우드
317,1,개통 최신 모델 핸드폰
318,1,해지 서비스 상담사 잘못 다른 빌어먹을 구려 계속 진짜 너희 청아 죽겠네
319,1,청구 이메일
320,0,신청 처리 핸드폰 문제 배터리
321,4,서비스 가입 가격 클라우드 용량 얼마나
322,2,해지 다른 이동
323,4,요금 할인 상세 역도 이번 얼마 얼마나
324,1,혜택 상품 결합 가입
325,0,비용 얼마
326,1,변경 다른 데이터 추천 비교 얼마 지금 요금제
327,0,신청 고장 방문 핸드폰 시간
328,2,신청 인터넷 그때 오늘
329,4,요금 조회 데이터 초과 얼마나 뭔가
330,4,요금 조회 이번 얼마
331,1,가입 상품 인터넷
332,4,요금 할인 상세 역도 이번 얼마 얼마나
333,1,비교 보고 요금제
334,3,전화번호 핸드폰 어디 액정 서류 가야
335,4,요금 조회 이번 예상
336,4,부가 서비스 해지 반영 데이터 저장 언제
337,4,가입 요금 휴대폰 제로
338,1,무제한 변경 데이터 문의 요금제
339,0,신청 화면 고장 핸드폰 언제
340,2,할인 상품 결합 가입 인터넷 문의 얼마나 핸드폰 절차
341,2,인터넷 연결
342,4,요금 납부 조회 청구
343,4,부가 서비스 해지 스트리밍 음악
344,3,통화 품질 진짜
345,3,요금 납부 이체 카드 변경 다른 계좌 방법
346,1,데이터 요금제
347,3,휴대폰 분실 신고 가입 카페
348,3,납부 변경 이체 요금 카드 계좌 방법 현재
349,1,변경 데이터 사용 내용 추천 요금제
350,4,부가 서비스 문의 신청 데이터 뭔가 보충
351,1,변경 가장 요금제
352,2,해지 다른 처리
353,0,휴대폰 고장
