source,target,similarity
상담사:,고객:,0.9391769766807556
상담사:,"네,",0.8681493997573853
상담사:,"뭐야,",0.834185004234314
상담사:,바꾸려고요.,0.8338847756385803
상담사:,선택약정,0.8330289721488953
상담사:,해지하실,0.8303653597831726
상담사:,나오네요.,0.8292207717895508
상담사:,가입하려고요.,0.8288687467575073
상담사:,진짜,0.828245222568512
상담사:,가입한,0.8275920748710632
상담사:,해지를,0.8271644115447998
상담사:,신규,0.8260133266448975
상담사:,LGU+입니다.,0.8254906535148621
상담사:,하려고,0.8249712586402893
상담사:,알려주시겠습니까?,0.8249626159667969
상담사:,부가서비스,0.824386477470398
상담사:,안녕하세요?,0.8238824009895325
상담사:,분실했는데,0.8236935138702393
상담사:,결합상품,0.8236818313598633
상담사:,잃어버렸습니다.,0.823560893535614
고객:,부가서비스,0.8318796753883362
고객:,멤버십,0.825295627117157
고객:,"뭐야,",0.8154822587966919
고객:,포인트를,0.8105843663215637
고객:,안녕하세요.,0.802777111530304
고객:,가입한,0.8008538484573364
고객:,선택약정,0.8005990982055664
고객:,진짜,0.800428032875061
고객:,해지하시겠습니까?,0.7968713045120239
고객:,노트북이,0.7953223586082458
고객:,납부에,0.7937292456626892
고객:,결합상품,0.7933475971221924
고객:,분실했는데,0.7930499911308289
고객:,나오네요.,0.7917429208755493
고객:,해지하실,0.7913673520088196
고객:,연결이,0.790996253490448
고객:,핸드폰을,0.7906987071037292
고객:,청구서에,0.7905353903770447
고객:,청구서,0.7900475859642029
"네,",은행명을,0.8970896005630493
"네,",계좌번호와,0.8957251310348511
"네,",바꾸려고요.,0.8956410884857178
"네,",그냥,0.895344078540802
"네,",<CARD_NUMBER>입니다.,0.8905109763145447
"네,",변경에,0.886529266834259
"네,",해지를,0.8850999474525452
"네,",<BANK_NAME>,0.879797637462616
"네,",서비스요.,0.8773841261863708
"네,",계좌번호를,0.8769069910049438
"네,","<BANK_NAME>,",0.8751765489578247
"네,",사유는,0.8746039271354675
"네,",신고가,0.8740851879119873
"네,",은행명과,0.8740245699882507
"네,",접수를,0.8732904195785522
"네,",한번,0.8731368780136108
"네,",돼서요.,0.8727802038192749
"네,",카드입니다.,0.8722811341285706
"네,",해지에,0.87077796459198
"네,",처리를,0.8699411153793335
감사합니다.,"없어요,",0.9715800881385803
감사합니다.,감사합니다!,0.9706926345825195
감사합니다.,수고하세요.,0.9703161120414734
감사합니다.,없어요.,0.9686781167984009
감사합니다.,예정입니다.,0.9664493799209595
감사합니다.,문의,0.9654371738433838
감사합니다.,사항은,0.9605669379234314
감사합니다.,처리해,0.950804591178894
감사합니다.,없으신가요?,0.9500009417533875
감사합니다.,처리,0.9413758516311646
감사합니다.,드렸습니다.,0.9345511794090271
감사합니다.,연락드릴,0.9309970736503601
감사합니다.,다른,0.9306508302688599
감사합니다.,알겠습니다.,0.9302504062652588
감사합니다.,납부될,0.929924488067627
감사합니다.,이메일로,0.9289575815200806
감사합니다.,가입이,0.9287212491035461
감사합니다.,완료되었습니다.,0.9277103543281555
감사합니다.,납부됩니다.,0.9268823266029358
감사합니다.,사항이,0.9244970679283142
<NAME>입니다.,변화,0.9847564101219177
<NAME>입니다.,일상에,0.9802732467651367
<NAME>입니다.,일상의,0.9789049625396729
<NAME>입니다.,즐거운,0.9773405194282532
<NAME>입니다.,해지하려고,0.9767094850540161
<NAME>입니다.,"안녕하세요,",0.9753549695014954
<NAME>입니다.,조회하려고,0.9733636975288391
<NAME>입니다.,전화했어요.,0.9694851636886597
<NAME>입니다.,LGU+,0.9655904173851013
<NAME>입니다.,조회하고,0.963145911693573
<NAME>입니다.,가입하려고,0.9593387842178345
<NAME>입니다.,요금,0.9570246338844299
<NAME>입니다.,해지하려고요.,0.9551166892051697
<NAME>입니다.,휴대폰을,0.9550639986991882
<NAME>입니다.,제,0.9511600136756897
<NAME>입니다.,핸드폰을,0.9503812193870544
<NAME>입니다.,하는데요.,0.9490659832954407
<NAME>입니다.,해지하고,0.9467081427574158
<NAME>입니다.,조회,0.9420287609100342
<NAME>입니다.,휴대폰이,0.9408920407295227
LGU+,변화,0.9842328429222107
LGU+,즐거운,0.9837422370910645
LGU+,제,0.982815146446228
LGU+,일상의,0.9811446070671082
LGU+,일상에,0.9747306704521179
LGU+,휴대폰이,0.9682990312576294
LGU+,"안녕하세요,",0.9660555720329285
LGU+,폰이,0.96417635679245
LGU+,해지하려고,0.9624386429786682
LGU+,핸드폰이,0.9624162316322327
LGU+,가입하려고,0.9507341384887695
LGU+,부가서비스,0.9451022744178772
LGU+,휴대폰을,0.9444910883903503
LGU+,청구서에,0.9413018822669983
LGU+,핸드폰을,0.941035807132721
LGU+,해지하고,0.9384475946426392
LGU+,조회하려고,0.9375617504119873
LGU+,TV가,0.93714439868927
LGU+,조회하고,0.9339182376861572
즐거운,변화,0.9942346215248108
즐거운,일상의,0.9937520027160645
즐거운,일상에,0.9857096672058105
즐거운,"안녕하세요,",0.9776280522346497
즐거운,제,0.9672139286994934
즐거운,청구서에,0.9625059366226196
즐거운,해지하려고,0.9553669691085815
즐거운,가입하려고,0.9538789987564087
즐거운,조회하고,0.9524167776107788
즐거운,해지하고,0.9512864351272583
즐거운,부가서비스,0.949005663394928
즐거운,조회하려고,0.9476063251495361
즐거운,폰이,0.9471272230148315
즐거운,휴대폰이,0.941788911819458
즐거운,휴대폰을,0.940002977848053
즐거운,핸드폰을,0.939039409160614
즐거운,전화했어요.,0.9335182309150696
즐거운,요금,0.9315751194953918
변화,일상의,0.9941853880882263
변화,일상에,0.9848620295524597
변화,"안녕하세요,",0.9745326638221741
변화,제,0.9660255908966064
변화,해지하려고,0.961323082447052
변화,가입하려고,0.9531139731407166
변화,해지하고,0.9528783559799194
변화,청구서에,0.950532078742981
변화,조회하려고,0.9487590193748474
변화,조회하고,0.9485262632369995
변화,부가서비스,0.9445397257804871
변화,폰이,0.9438176155090332
변화,휴대폰이,0.9434661269187927
변화,휴대폰을,0.941409170627594
변화,전화했어요.,0.9384027123451233
변화,핸드폰을,0.9375547766685486
변화,핸드폰이,0.9345465898513794
일상의,일상에,0.980968177318573
일상의,"안녕하세요,",0.968585193157196
일상의,제,0.959520161151886
일상의,해지하고,0.9572755098342896
일상의,해지하려고,0.9560106992721558
일상의,청구서에,0.9472379088401794
일상의,가입하려고,0.9428565502166748
일상의,부가서비스,0.942138135433197
일상의,조회하고,0.9394116997718811
일상의,조회하려고,0.939409077167511
일상의,폰이,0.9344069957733154
일상의,휴대폰이,0.9341444373130798
일상의,휴대폰을,0.9318322539329529
일상의,핸드폰을,0.9291885495185852
일상의,전화했어요.,0.9278191924095154
일상의,요금,0.9252686500549316
데이터,사용량이,0.9679660201072693
데이터,데이터가,0.936306357383728
데이터,많이,0.9337318539619446
데이터,무제한,0.9319546818733215
데이터,초과,0.9232541918754578
데이터,변경하시면,0.9190112352371216
데이터,많은,0.9154280424118042
데이터,걸로요.,0.9103145599365234
데이터,좋을까요?,0.9066148400306702
데이터,쓰는,0.9061846733093262
데이터,사용할,0.9058137536048889
데이터,드립니다.,0.8983182907104492
데이터,따라,0.8981689810752869
데이터,사용량은,0.8959143161773682
데이터,데이터를,0.8941938877105713
데이터,변경을,0.8932679295539856
데이터,요금제가,0.8917121887207031
데이터,사용량을,0.8899125456809998
데이터,나왔네요.,0.8875578045845032
데이터,비싼,0.8868618607521057
어떤,싶으신가요?,0.9474450945854187
어떤,원하시나요?,0.9389677047729492
어떤,카드에서,0.9364043474197388
어떤,문의하고,0.9145820736885071
어떤,부가서비스에,0.9123288989067078
어떤,싶습니다.,0.9112518429756165
어떤,변경하시겠습니까?,0.9084507822990417
어떤,방법을,0.9077279567718506
어떤,바꾸고,0.9061027765274048
어떤,싶어요.,0.9032477736473083
어떤,이체로,0.9027780294418335
어떤,방법으로,0.9026662111282349
어떤,납부하고,0.902656078338623
어떤,알고,0.8886513710021973
어떤,중인데,0.8886185884475708
어떤,가입하고,0.8870981931686401
어떤,부가,0.8844523429870605
어떤,클라우드,0.8830486536026001
어떤,대해,0.8814297914505005
어떤,부가서비스를,0.8779333233833313
고객님,성함과,0.9761858582496643
고객님,성함을,0.9684645533561707
고객님,전화번호를,0.9654968976974487
고객님,핸드폰,0.9616563320159912
고객님,말씀해,0.9614735841751099
고객님,<NAME>이야!,0.95293128490448
고객님,생년월일을,0.949068546295166
고객님,번호를,0.9477240443229675
고객님,최근,0.9446731805801392
고객님,하는데요.,0.9434013962745667
고객님,주시겠어요?,0.9429210424423218
고객님,느려요.,0.9423143863677979
고객님,얼마예요?,0.9407261610031128
고객님,액정이,0.9392161965370178
고객님,조회하려고요.,0.9387466311454773
고객님,주시겠습니까?,0.9373029470443726
고객님,해지하려고요.,0.9342901110649109
고객님,주소지를,0.9260660409927368
고객님,TV,0.9204177260398865
고객님,전화했어요.,0.920146107673645
드리겠습니다.,변경,0.9124164581298828
드리겠습니다.,후,0.8967019319534302
드리겠습니다.,언제부터,0.8871660232543945
드리겠습니다.,드릴까요?,0.8867846727371216
드리겠습니다.,동의하시나요?,0.8829324841499329
드리겠습니다.,은행명을,0.8783705234527588
드리겠습니다.,그걸로,0.8745256662368774
드리겠습니다.,변경에,0.8731352686882019
드리겠습니다.,계좌번호와,0.8700534701347351
드리겠습니다.,적용되나요?,0.8676891326904297
드리겠습니다.,완료되면,0.8672977685928345
드리겠습니다.,<BANK_NAME>,0.866500735282898
드리겠습니다.,제공되는,0.8658049702644348
드리겠습니다.,가능합니다.,0.8657297492027283
드리겠습니다.,동의합니다.,0.8656444549560547
드리겠습니다.,좋습니다.,0.8608837723731995
드리겠습니다.,처리가,0.8578998446464539
드리겠습니다.,한번,0.8559829592704773
드리겠습니다.,다음,0.8540905117988586
드리겠습니다.,필요하신,0.8531702160835266
다른,문의,0.9736161828041077
